PortfolioCode,Date,AllocationType,Position,Weight,
Atchison70ACTIVE,30-Jun-19,Tactical,IHVV-AU,6.36258000,
Atchison70ACTIVE,30-Jun-19,Tactical,VEQ-AU,3.18129000,
Atchison70ACTIVE,30-Jun-19,Tactical,ETL7377AU,10.23557000,
Atchison70ACTIVE,30-Jun-19,Tactical,GSF6910AU,5.11778000,
Atchison70ACTIVE,30-Jun-19,Tactical,PIM7802AU,2.55889000,
Atchison70ACTIVE,30-Jun-19,Tactical,BLK4709AU,0.51588000,
Atchison70ACTIVE,30-Jun-19,Tactical,BLK9419AU,1.03177000,
Atchison70ACTIVE,30-Jun-19,Tactical,LAM0044AU,0.62243000,
Atchison70ACTIVE,30-Jun-19,Tactical,GTU5547AU,0.62243000,
Atchison70ACTIVE,30-Jun-19,Tactical,TGP0016AU,0.20747000,
Atchison70ACTIVE,30-Jun-19,Tactical,GPEQ-AU,0.30000000,
Atchison70ACTIVE,30-Jun-19,Tactical,AUS0035AU,0.45000000,
Atchison70ACTIVE,30-Jun-19,Tactical,EQI4297AU,0.15000000,
Atchison70ACTIVE,30-Jun-19,Tactical,MAQ5143AU,0.15000000,
Atchison70ACTIVE,30-Jun-19,Tactical,PER0728AU,0.75000000,
Atchison70ACTIVE,30-Jun-19,Tactical,PIM1038AU,1.05000000,
Atchison70ACTIVE,30-Jun-19,Tactical,CNA0805AU,0.15000000,
Atchison70ACTIVE,30-Jun-19,Tactical,IAF-AU,1.93456000,
Atchison70ACTIVE,30-Jun-19,Tactical,AESG-AU,1.28971000,
Atchison70ACTIVE,30-Jun-19,Tactical,ILB-AU,1.28971000,
Atchison70ACTIVE,30-Jun-19,Tactical,ETL5525AU,1.41200000,
Atchison70ACTIVE,30-Jun-19,Tactical,SSB0122AU,2.82400000,
Atchison70ACTIVE,30-Jun-19,Tactical,FLOT-AU,1.35419000,
Atchison70ACTIVE,30-Jun-19,Tactical,ISEC-AU,1.35419000,
Atchison70ACTIVE,30-Jun-19,Tactical,IOF0127AU,0.63540000,
Atchison70ACTIVE,30-Jun-19,Tactical,WPC1963AU,0.95310000,
Atchison70ACTIVE,30-Jun-19,Tactical,CSA0038AU,0.95310000,
Atchison70ACTIVE,30-Jun-19,Tactical,BILL-AU,4.00011000,
Atchison70ACTIVE,10-Jan-20,Strategic,IOZ-AU,37.00000000,
Atchison70ACTIVE,10-Jan-20,Strategic,VGS-AU,34.00000000,
Atchison70ACTIVE,10-Jan-20,Strategic,IAF-AU,12.00000000,
Atchison70ACTIVE,10-Jan-20,Strategic,VBND-AU,10.00000000,
Atchison70ACTIVE,10-Jan-20,Strategic,BILL-AU,7.00000000,
Atchison70ACTIVE,10-Jan-20,Tactical,IOZ-AU,16.50832000,
Atchison70ACTIVE,10-Jan-20,Tactical,HOW2217AU,2.21309000,
Atchison70ACTIVE,10-Jan-20,Tactical,SCH0101AU,4.42619000,
Atchison70ACTIVE,10-Jan-20,Tactical,AAP5529AU,1.10654000,
Atchison70ACTIVE,10-Jan-20,Tactical,CNA0812AU,1.10654000,
Atchison70ACTIVE,10-Jan-20,Tactical,ALR2783AU,2.21309000,
Atchison70ACTIVE,10-Jan-20,Tactical,HOW0035AU,4.42619000,
Atchison70ACTIVE,10-Jan-20,Tactical,IVV-AU,7.48033000,
Atchison70ACTIVE,10-Jan-20,Tactical,IHVV-AU,4.98688000,
Atchison70ACTIVE,10-Jan-20,Tactical,VEQ-AU,2.49344000,
Atchison70ACTIVE,10-Jan-20,Tactical,ETL7377AU,8.02247000,
Atchison70ACTIVE,10-Jan-20,Tactical,GSF6910AU,4.01123000,
Atchison70ACTIVE,10-Jan-20,Tactical,PIM7802AU,2.00561000,
Atchison70ACTIVE,10-Jan-20,Tactical,BLK4709AU,0.85980000,
Atchison70ACTIVE,10-Jan-20,Tactical,BLK9419AU,1.71961000,
Atchison70ACTIVE,10-Jan-20,Tactical,LAM0044AU,1.03738000,
Atchison70ACTIVE,10-Jan-20,Tactical,GTU5547AU,1.03738000,
Atchison70ACTIVE,10-Jan-20,Tactical,TGP0016AU,0.34579000,
Atchison70ACTIVE,10-Jan-20,Tactical,GPEQ-AU,0.50000000,
Atchison70ACTIVE,10-Jan-20,Tactical,AUS0035AU,0.75000000,
Atchison70ACTIVE,10-Jan-20,Tactical,EQI4297AU,0.25000000,
Atchison70ACTIVE,10-Jan-20,Tactical,MAQ5143AU,0.25000000,
Atchison70ACTIVE,10-Jan-20,Tactical,PER0728AU,1.25000000,
Atchison70ACTIVE,10-Jan-20,Tactical,PIM1038AU,1.75000000,
Atchison70ACTIVE,10-Jan-20,Tactical,CNA0805AU,0.25000000,
Atchison70ACTIVE,10-Jan-20,Tactical,IAF-AU,3.04003000,
Atchison70ACTIVE,10-Jan-20,Tactical,AESG-AU,2.02669000,
Atchison70ACTIVE,10-Jan-20,Tactical,ILB-AU,2.02669000,
Atchison70ACTIVE,10-Jan-20,Tactical,ETL5525AU,2.21886000,
Atchison70ACTIVE,10-Jan-20,Tactical,SSB0122AU,4.43772000,
Atchison70ACTIVE,10-Jan-20,Tactical,FLOT-AU,2.12802000,
Atchison70ACTIVE,10-Jan-20,Tactical,ISEC-AU,2.12802000,
Atchison70ACTIVE,10-Jan-20,Tactical,IOF0127AU,0.99848000,
Atchison70ACTIVE,10-Jan-20,Tactical,WPC1963AU,1.49773000,
Atchison70ACTIVE,10-Jan-20,Tactical,CSA0038AU,1.49773000,
Atchison70ACTIVE,10-Jan-20,Tactical,BILL-AU,7.00015000,
Atchison70ACTIVE,1-Apr-20,Strategic,IOZ-AU,40.00000000,
Atchison70ACTIVE,1-Apr-20,Strategic,VGS-AU,40.00000000,
Atchison70ACTIVE,1-Apr-20,Strategic,IAF-AU,5.00000000,
Atchison70ACTIVE,1-Apr-20,Strategic,VBND-AU,5.00000000,
Atchison70ACTIVE,1-Apr-20,Strategic,FLOT-AU,5.00000000,
Atchison70ACTIVE,1-Apr-20,Strategic,BILL-AU,5.00000000,
Atchison70ACTIVE,1-Apr-20,Tactical,IOZ-AU,18.05597000,
Atchison70ACTIVE,1-Apr-20,Tactical,HOW2217AU,2.42057000,
Atchison70ACTIVE,1-Apr-20,Tactical,SCH0101AU,4.84115000,
Atchison70ACTIVE,1-Apr-20,Tactical,AAP5529AU,1.21028000,
Atchison70ACTIVE,1-Apr-20,Tactical,CNA0812AU,1.21028000,
Atchison70ACTIVE,1-Apr-20,Tactical,ALR2783AU,2.42057000,
Atchison70ACTIVE,1-Apr-20,Tactical,HOW0035AU,4.84115000,
Atchison70ACTIVE,1-Apr-20,Tactical,IVV-AU,9.02798000,
Atchison70ACTIVE,1-Apr-20,Tactical,IHVV-AU,6.01865000,
Atchison70ACTIVE,1-Apr-20,Tactical,VEQ-AU,3.00932000,
Atchison70ACTIVE,1-Apr-20,Tactical,ETL7377AU,9.68230000,
Atchison70ACTIVE,1-Apr-20,Tactical,GSF6910AU,4.84115000,
Atchison70ACTIVE,1-Apr-20,Tactical,PIM7802AU,2.42057000,
Atchison70ACTIVE,1-Apr-20,Tactical,BLK4709AU,0.85980000,
Atchison70ACTIVE,1-Apr-20,Tactical,BLK9419AU,1.71961000,
Atchison70ACTIVE,1-Apr-20,Tactical,LAM0044AU,1.03738000,
Atchison70ACTIVE,1-Apr-20,Tactical,GTU5547AU,1.03738000,
Atchison70ACTIVE,1-Apr-20,Tactical,TGP0016AU,0.34579000,
Atchison70ACTIVE,1-Apr-20,Tactical,GPEQ-AU,0.50000000,
Atchison70ACTIVE,1-Apr-20,Tactical,AUS0035AU,0.75000000,
Atchison70ACTIVE,1-Apr-20,Tactical,EQI4297AU,0.25000000,
Atchison70ACTIVE,1-Apr-20,Tactical,MAQ5143AU,0.25000000,
Atchison70ACTIVE,1-Apr-20,Tactical,PER0728AU,1.25000000,
Atchison70ACTIVE,1-Apr-20,Tactical,PIM1038AU,1.75000000,
Atchison70ACTIVE,1-Apr-20,Tactical,CNA0805AU,0.25000000,
Atchison70ACTIVE,1-Apr-20,Tactical,IAF-AU,2.07275000,
Atchison70ACTIVE,1-Apr-20,Tactical,AESG-AU,1.38183000,
Atchison70ACTIVE,1-Apr-20,Tactical,ILB-AU,1.38183000,
Atchison70ACTIVE,1-Apr-20,Tactical,ETL5525AU,1.51285000,
Atchison70ACTIVE,1-Apr-20,Tactical,SSB0122AU,3.02571000,
Atchison70ACTIVE,1-Apr-20,Tactical,FLOT-AU,1.45092000,
Atchison70ACTIVE,1-Apr-20,Tactical,ISEC-AU,1.45092000,
Atchison70ACTIVE,1-Apr-20,Tactical,IOF0127AU,0.68078000,
Atchison70ACTIVE,1-Apr-20,Tactical,WPC1963AU,1.02118000,
Atchison70ACTIVE,1-Apr-20,Tactical,CSA0038AU,1.02118000,
Atchison70ACTIVE,1-Apr-20,Tactical,BILL-AU,5.00015000,
Atchison70ACTIVE,8-Jan-21,Strategic,IOZ-AU,39.00000000,
Atchison70ACTIVE,8-Jan-21,Strategic,VGS-AU,42.00000000,
Atchison70ACTIVE,8-Jan-21,Strategic,IAF-AU,5.00000000,
Atchison70ACTIVE,8-Jan-21,Strategic,VBND-AU,5.00000000,
Atchison70ACTIVE,8-Jan-21,Strategic,BILL-AU,9.00000000,
Atchison70ACTIVE,8-Jan-21,Tactical,IOZ-AU,17.54009000,
Atchison70ACTIVE,8-Jan-21,Tactical,HOW2217AU,2.35141000,
Atchison70ACTIVE,8-Jan-21,Tactical,SCH0101AU,4.70283000,
Atchison70ACTIVE,8-Jan-21,Tactical,AAP5529AU,1.17570000,
Atchison70ACTIVE,8-Jan-21,Tactical,CNA0812AU,1.17570000,
Atchison70ACTIVE,8-Jan-21,Tactical,ALR2783AU,2.35141000,
Atchison70ACTIVE,8-Jan-21,Tactical,HOW0035AU,4.70283000,
Atchison70ACTIVE,8-Jan-21,Tactical,IVV-AU,9.54387000,
Atchison70ACTIVE,8-Jan-21,Tactical,IHVV-AU,6.36258000,
Atchison70ACTIVE,8-Jan-21,Tactical,VEQ-AU,3.18129000,
Atchison70ACTIVE,8-Jan-21,Tactical,ETL7377AU,10.23557000,
Atchison70ACTIVE,8-Jan-21,Tactical,GSF6910AU,5.11778000,
Atchison70ACTIVE,8-Jan-21,Tactical,PIM7802AU,2.55889000,
Atchison70ACTIVE,8-Jan-21,Tactical,BLK4709AU,0.85980000,
Atchison70ACTIVE,8-Jan-21,Tactical,BLK9419AU,1.71961000,
Atchison70ACTIVE,8-Jan-21,Tactical,LAM0044AU,1.03738000,
Atchison70ACTIVE,8-Jan-21,Tactical,GTU5547AU,1.03738000,
Atchison70ACTIVE,8-Jan-21,Tactical,TGP0016AU,0.34579000,
Atchison70ACTIVE,8-Jan-21,Tactical,GPEQ-AU,0.50000000,
Atchison70ACTIVE,8-Jan-21,Tactical,AUS0035AU,0.75000000,
Atchison70ACTIVE,8-Jan-21,Tactical,EQI4297AU,0.25000000,
Atchison70ACTIVE,8-Jan-21,Tactical,MAQ5143AU,0.25000000,
Atchison70ACTIVE,8-Jan-21,Tactical,PER0728AU,1.25000000,
Atchison70ACTIVE,8-Jan-21,Tactical,PIM1038AU,1.75000000,
Atchison70ACTIVE,8-Jan-21,Tactical,CNA0805AU,0.25000000,
Atchison70ACTIVE,8-Jan-21,Tactical,IAF-AU,1.38183000,
Atchison70ACTIVE,8-Jan-21,Tactical,AESG-AU,0.92122000,
Atchison70ACTIVE,8-Jan-21,Tactical,ILB-AU,0.92122000,
Atchison70ACTIVE,8-Jan-21,Tactical,ETL5525AU,1.00857000,
Atchison70ACTIVE,8-Jan-21,Tactical,SSB0122AU,2.01714000,
Atchison70ACTIVE,8-Jan-21,Tactical,FLOT-AU,0.96728000,
Atchison70ACTIVE,8-Jan-21,Tactical,ISEC-AU,0.96728000,
Atchison70ACTIVE,8-Jan-21,Tactical,IOF0127AU,0.45385000,
Atchison70ACTIVE,8-Jan-21,Tactical,WPC1963AU,0.68078000,
Atchison70ACTIVE,8-Jan-21,Tactical,CSA0038AU,0.68078000,
Atchison70ACTIVE,8-Jan-21,Tactical,BILL-AU,9.00014000,
Atchison70ACTIVE,2-Jan-22,Strategic,IOZ-AU,42.00000000,
Atchison70ACTIVE,2-Jan-22,Strategic,VGS-AU,32.00000000,
Atchison70ACTIVE,2-Jan-22,Strategic,IAF-AU,4.00000000,
Atchison70ACTIVE,2-Jan-22,Strategic,VBND-AU,4.00000000,
Atchison70ACTIVE,2-Jan-22,Strategic,BILL-AU,18.00000000,
Atchison70ACTIVE,2-Jan-22,Tactical,IOZ-AU,19.08774500,
Atchison70ACTIVE,2-Jan-22,Tactical,HOW2217AU,2.55889300,
Atchison70ACTIVE,2-Jan-22,Tactical,SCH0101AU,5.11778700,
Atchison70ACTIVE,2-Jan-22,Tactical,AAP5529AU,1.27944600,
Atchison70ACTIVE,2-Jan-22,Tactical,CNA0812AU,1.27944600,
Atchison70ACTIVE,2-Jan-22,Tactical,ALR2783AU,2.55889300,
Atchison70ACTIVE,2-Jan-22,Tactical,HOW0035AU,5.11778700,
Atchison70ACTIVE,2-Jan-22,Tactical,IVV-AU,6.96444700,
Atchison70ACTIVE,2-Jan-22,Tactical,IHVV-AU,4.64296500,
Atchison70ACTIVE,2-Jan-22,Tactical,VEQ-AU,2.32148200,
Atchison70ACTIVE,2-Jan-22,Tactical,ETL7377AU,7.46920200,
Atchison70ACTIVE,2-Jan-22,Tactical,GSF6910AU,3.73460100,
Atchison70ACTIVE,2-Jan-22,Tactical,PIM7802AU,1.86730000,
Atchison70ACTIVE,2-Jan-22,Tactical,BLK4709AU,0.85980800,
Atchison70ACTIVE,2-Jan-22,Tactical,BLK9419AU,1.71961600,
Atchison70ACTIVE,2-Jan-22,Tactical,LAM0044AU,1.03738900,
Atchison70ACTIVE,2-Jan-22,Tactical,GTU5547AU,1.03738900,
Atchison70ACTIVE,2-Jan-22,Tactical,TGP0016AU,0.34579600,
Atchison70ACTIVE,2-Jan-22,Tactical,GPEQ-AU,0.50000000,
Atchison70ACTIVE,2-Jan-22,Tactical,AUS0035AU,0.75000000,
Atchison70ACTIVE,2-Jan-22,Tactical,EQI4297AU,0.25000000,
Atchison70ACTIVE,2-Jan-22,Tactical,MAQ5143AU,0.25000000,
Atchison70ACTIVE,2-Jan-22,Tactical,PER0728AU,1.25000000,
Atchison70ACTIVE,2-Jan-22,Tactical,PIM1038AU,1.75000000,
Atchison70ACTIVE,2-Jan-22,Tactical,CNA0805AU,0.25000000,
Atchison70ACTIVE,2-Jan-22,Tactical,IAF-AU,1.10546700,
Atchison70ACTIVE,2-Jan-22,Tactical,AESG-AU,0.73697800,
Atchison70ACTIVE,2-Jan-22,Tactical,ILB-AU,0.73697800,
Atchison70ACTIVE,2-Jan-22,Tactical,ETL5525AU,0.80685800,
Atchison70ACTIVE,2-Jan-22,Tactical,SSB0122AU,1.61371600,
Atchison70ACTIVE,2-Jan-22,Tactical,FLOT-AU,0.77382700,
Atchison70ACTIVE,2-Jan-22,Tactical,ISEC-AU,0.77382700,
Atchison70ACTIVE,2-Jan-22,Tactical,IOF0127AU,0.36308600,
Atchison70ACTIVE,2-Jan-22,Tactical,WPC1963AU,0.54462900,
Atchison70ACTIVE,2-Jan-22,Tactical,CSA0038AU,0.54462900,
Atchison70ACTIVE,2-Jan-22,Tactical,BILL-AU,18.00001300,
Atchison70ACTIVE,20-Jan-23,Strategic,IOZ-AU,35.00000000,
Atchison70ACTIVE,20-Jan-23,Strategic,VGS-AU,42.00000000,
Atchison70ACTIVE,20-Jan-23,Strategic,IAF-AU,6.00000000,
Atchison70ACTIVE,20-Jan-23,Strategic,VBND-AU,6.00000000,
Atchison70ACTIVE,20-Jan-23,Strategic,BILL-AU,11.00000000,
Atchison70ACTIVE,20-Jan-23,Tactical,IOZ-AU,15.47655000,
Atchison70ACTIVE,20-Jan-23,Tactical,HOW2217AU,2.07477800,
Atchison70ACTIVE,20-Jan-23,Tactical,SCH0101AU,4.14955700,
Atchison70ACTIVE,20-Jan-23,Tactical,AAP5529AU,1.03738900,
Atchison70ACTIVE,20-Jan-23,Tactical,CNA0812AU,1.03738900,
Atchison70ACTIVE,20-Jan-23,Tactical,ALR2783AU,2.07477800,
Atchison70ACTIVE,20-Jan-23,Tactical,HOW0035AU,4.14955700,
Atchison70ACTIVE,20-Jan-23,Tactical,IVV-AU,9.54387200,
Atchison70ACTIVE,20-Jan-23,Tactical,IHVV-AU,6.36258100,
Atchison70ACTIVE,20-Jan-23,Tactical,VEQ-AU,3.18129000,
Atchison70ACTIVE,20-Jan-23,Tactical,ETL7377AU,10.23557400,
Atchison70ACTIVE,20-Jan-23,Tactical,GSF6910AU,5.11778700,
Atchison70ACTIVE,20-Jan-23,Tactical,PIM7802AU,2.55889300,
Atchison70ACTIVE,20-Jan-23,Tactical,BLK4709AU,0.85980800,
Atchison70ACTIVE,20-Jan-23,Tactical,BLK9419AU,1.71961600,
Atchison70ACTIVE,20-Jan-23,Tactical,LAM0044AU,1.03738900,
Atchison70ACTIVE,20-Jan-23,Tactical,TGP0016AU,0.34579600,
Atchison70ACTIVE,20-Jan-23,Tactical,GPEQ-AU,0.50000000,
Atchison70ACTIVE,20-Jan-23,Tactical,AUS0035AU,0.75000000,
Atchison70ACTIVE,20-Jan-23,Tactical,EQI4297AU,0.25000000,
Atchison70ACTIVE,20-Jan-23,Tactical,MAQ5143AU,0.25000000,
Atchison70ACTIVE,20-Jan-23,Tactical,SSB0495AU,1.03738900,
Atchison70ACTIVE,20-Jan-23,Tactical,PER0728AU,1.25000000,
Atchison70ACTIVE,20-Jan-23,Tactical,PIM1038AU,1.75000000,
Atchison70ACTIVE,20-Jan-23,Tactical,CNA0805AU,0.25000000,
Atchison70ACTIVE,20-Jan-23,Tactical,IAF-AU,1.65820100,
Atchison70ACTIVE,20-Jan-23,Tactical,AESG-AU,1.10546700,
Atchison70ACTIVE,20-Jan-23,Tactical,ILB-AU,1.10546700,
Atchison70ACTIVE,20-Jan-23,Tactical,ETL5525AU,1.21028700,
Atchison70ACTIVE,20-Jan-23,Tactical,SSB0122AU,2.42057500,
Atchison70ACTIVE,20-Jan-23,Tactical,FLOT-AU,1.16074100,
Atchison70ACTIVE,20-Jan-23,Tactical,ISEC-AU,1.16074100,
Atchison70ACTIVE,20-Jan-23,Tactical,IOF0127AU,0.54462900,
Atchison70ACTIVE,20-Jan-23,Tactical,WPC1963AU,0.81694400,
Atchison70ACTIVE,20-Jan-23,Tactical,CSA0038AU,0.81694400,
Atchison70ACTIVE,20-Jan-23,Tactical,BILL-AU,11.00001100,
Atchison70ACTIVE,28-Jul-23,Strategic,IOZ-AU,33.50000000,
Atchison70ACTIVE,28-Jul-23,Strategic,VGS-AU,40.50000000,
Atchison70ACTIVE,28-Jul-23,Strategic,BLK4709AU,1.50000000,
Atchison70ACTIVE,28-Jul-23,Strategic,BLK9419AU,1.50000000,
Atchison70ACTIVE,28-Jul-23,Strategic,IAF-AU,6.00000000,
Atchison70ACTIVE,28-Jul-23,Strategic,VBND-AU,6.00000000,
Atchison70ACTIVE,28-Jul-23,Strategic,BILL-AU,11.00000000,
Atchison70ACTIVE,28-Jul-23,Tactical,IOZ-AU,11.60741327,
Atchison70ACTIVE,28-Jul-23,Tactical,HOW2217AU,1.55608360,
Atchison70ACTIVE,28-Jul-23,Tactical,SCH0101AU,3.11216796,
Atchison70ACTIVE,28-Jul-23,Tactical,AAP5529AU,0.77804180,
Atchison70ACTIVE,28-Jul-23,Tactical,CNA0812AU,0.77804180,
Atchison70ACTIVE,28-Jul-23,Tactical,ALR2783AU,1.55608360,
Atchison70ACTIVE,28-Jul-23,Tactical,HOW0035AU,3.11216796,
Atchison70ACTIVE,28-Jul-23,Tactical,IVV-AU,5.80370642,
Atchison70ACTIVE,28-Jul-23,Tactical,IHVV-AU,3.86913741,
Atchison70ACTIVE,28-Jul-23,Tactical,VEQ-AU,1.93456840,
Atchison70ACTIVE,28-Jul-23,Tactical,ETL7377AU,6.22433605,
Atchison70ACTIVE,28-Jul-23,Tactical,GSF6910AU,3.11216802,
Atchison70ACTIVE,28-Jul-23,Tactical,PIM7802AU,1.55608371,
Atchison70ACTIVE,28-Jul-23,Tactical,BLK4709AU,2.40836694,
Atchison70ACTIVE,28-Jul-23,Tactical,BLK9419AU,4.81673389,
Atchison70ACTIVE,28-Jul-23,Tactical,LAM0044AU,2.90578057,
Atchison70ACTIVE,28-Jul-23,Tactical,TGP0016AU,0.96859259,
Atchison70ACTIVE,28-Jul-23,Tactical,GPEQ-AU,1.40052602,
Atchison70ACTIVE,28-Jul-23,Tactical,AUS0035AU,1.69303619,
Atchison70ACTIVE,28-Jul-23,Tactical,EQI4297AU,0.56434540,
Atchison70ACTIVE,28-Jul-23,Tactical,MAQ5143AU,0.56434540,
Atchison70ACTIVE,28-Jul-23,Tactical,SSB0495AU,2.34178283,
Atchison70ACTIVE,28-Jul-23,Tactical,PER0728AU,2.82172699,
Atchison70ACTIVE,28-Jul-23,Tactical,PIM1038AU,3.95041779,
Atchison70ACTIVE,28-Jul-23,Tactical,CNA0805AU,0.56434540,
Atchison70ACTIVE,28-Jul-23,Tactical,IAF-AU,2.76366944,
Atchison70ACTIVE,28-Jul-23,Tactical,AESG-AU,1.84244574,
Atchison70ACTIVE,28-Jul-23,Tactical,ILB-AU,1.84244574,
Atchison70ACTIVE,28-Jul-23,Tactical,ETL5525AU,2.01714581,
Atchison70ACTIVE,28-Jul-23,Tactical,SSB0122AU,4.03429328,
Atchison70ACTIVE,28-Jul-23,Tactical,FLOT-AU,3.22428127,
Atchison70ACTIVE,28-Jul-23,Tactical,ISEC-AU,3.22428127,
Atchison70ACTIVE,28-Jul-23,Tactical,IOF0127AU,1.51285867,
Atchison70ACTIVE,28-Jul-23,Tactical,WPC1963AU,2.26928939,
Atchison70ACTIVE,28-Jul-23,Tactical,CSA0038AU,2.26928939,
Atchison70ACTIVE,28-Jul-23,Tactical,BILL-AU,5.00000001,
Atchison70ETF,30-Jun-19,Objective,ATCHBM00001,100.00000000,
Atchison70ETF,30-Jun-19,Peer,ATCHBM00026,100.00000000,
Atchison70ETF,30-Jun-19,Reference,IOZ-AU,35.00000000,
Atchison70ETF,30-Jun-19,Reference,VGS-AU,35.00000000,
Atchison70ETF,30-Jun-19,Reference,IAF-AU,12.50000000,
Atchison70ETF,30-Jun-19,Reference,VBND-AU,12.50000000,
Atchison70ETF,30-Jun-19,Reference,BILL-AU,5.00000000,
Atchison70ETF,30-Jun-19,Strategic,IOZ-AU,32.00000000,
Atchison70ETF,30-Jun-19,Strategic,VGS-AU,39.00000000,
Atchison70ETF,30-Jun-19,Strategic,IAF-AU,12.50000000,
Atchison70ETF,30-Jun-19,Strategic,VBND-AU,12.50000000,
Atchison70ETF,30-Jun-19,Strategic,BILL-AU,4.00000000,
Atchison70ETF,30-Jun-19,Tactical,IOZ-AU,35.00000000,
Atchison70ETF,30-Jun-19,Tactical,IVV-AU,10.50000000,
Atchison70ETF,30-Jun-19,Tactical,VEQ-AU,6.00000000,
Atchison70ETF,30-Jun-19,Tactical,IJP-AU,1.50000000,
Atchison70ETF,30-Jun-19,Tactical,VGAD-AU,6.00000000,
Atchison70ETF,30-Jun-19,Tactical,VAE-AU,6.00000000,
Atchison70ETF,30-Jun-19,Tactical,BLK4709AU,1.50000000,
Atchison70ETF,30-Jun-19,Tactical,BLK9419AU,2.00000000,
Atchison70ETF,30-Jun-19,Tactical,VBLD-AU,1.50000000,
Atchison70ETF,30-Jun-19,Tactical,IAF-AU,5.00000000,
Atchison70ETF,30-Jun-19,Tactical,AESG-AU,5.00000000,
Atchison70ETF,30-Jun-19,Tactical,ILB-AU,2.50000000,
Atchison70ETF,30-Jun-19,Tactical,FLOT-AU,5.00000000,
Atchison70ETF,30-Jun-19,Tactical,BHYB-AU,3.00000000,
Atchison70ETF,30-Jun-19,Tactical,ISEC-AU,2.00000000,
Atchison70ETF,30-Jun-19,Tactical,BILL-AU,7.50000000,
BON032,16-Feb-23,Objective,ATCHBM00001,100.00000000,
BON032,16-Feb-23,Peer,ATCHBM00023,100.00000000,
BON032,16-Feb-23,Reference,IOZ-AU,25.00000000,
BON032,16-Feb-23,Reference,VGS-AU,25.00000000,
BON032,16-Feb-23,Reference,IAF-AU,22.50000000,
BON032,16-Feb-23,Reference,VBND-AU,22.50000000,
BON032,16-Feb-23,Reference,BILL-AU,5.00000000,
BON032,16-Feb-23,Strategic,IOZ-AU,19.00000000,
BON032,16-Feb-23,Strategic,IEM-AU,4.50000000,
BON032,16-Feb-23,Strategic,IEU-AU,6.50000000,
BON032,16-Feb-23,Strategic,IHVV-AU,4.00000000,
BON032,16-Feb-23,Strategic,IJP-AU,1.00000000,
BON032,16-Feb-23,Strategic,IVV-AU,8.50000000,
BON032,16-Feb-23,Strategic,IZZ-AU,2.00000000,
BON032,16-Feb-23,Strategic,WVOL-AU,4.50000000,
BON032,16-Feb-23,Strategic,IAF-AU,25.00000000,
BON032,16-Feb-23,Strategic,IGB-AU,2.00000000,
BON032,16-Feb-23,Strategic,ILB-AU,3.00000000,
BON032,16-Feb-23,Strategic,IHCB-AU,3.50000000,
BON032,16-Feb-23,Strategic,IHHY-AU,2.50000000,
BON032,16-Feb-23,Strategic,IHEB-AU,2.00000000,
BON032,16-Feb-23,Strategic,AESG-AU,4.00000000,
BON032,16-Feb-23,Strategic,BILL-AU,2.50000000,
BON032,16-Feb-23,Strategic,ISEC-AU,5.50000000,
BON032,16-Feb-23,Tactical,IOZ-AU,23.50000000,
BON032,16-Feb-23,Tactical,IEM-AU,1.50000000,
BON032,16-Feb-23,Tactical,IEU-AU,7.50000000,
BON032,16-Feb-23,Tactical,IHVV-AU,4.00000000,
